compound_name,smiles,cid,thalf_h,thalf_source,thalf_notes
Zanamivir,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N,60855.0,5.1,PubChem,PubChem: half-life of zanamivir following administration by oral inhalation ranges from 2.5 to 5.1 hours
Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,896.0,0.1,PubChem,PubChem: half-life (0.67 +/- 0.12 vs. 0.79 +/- 0.10 hr
Diazoxide,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,3019.0,24.0,PubChem,PubChem: half-life of diazoxide varies from 9.5 to 24 hours
Carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,2585.0,8.5,PubChem,PubChem: half life of carvedilol is between 7-10 hours
Diatrizoate,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,2140.0,80.0,PubChem,PubChem: halflife is reported to be 20-140 hours
Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,5284371.0,3.0,PubChem,PubChem: Half Life: Plasma half-lives of codeine and its metabolites have been reported to be approximately 3 hours
Metformin,CN(C)C(=N)N=C(N)N,4091.0,6.2,PubChem,PubChem: half-life of metformin averages approximately 6.2 hours
Zoledronic Acid,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,68740.0,146.0,PubChem,PubChem: Half Life: 146 hours
Patupilone,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,448013.0,,,
Moxalactam,CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,47499.0,,,
F992,CC[C@]1(C)NC(=O)[C@H](Cc2cccs2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)CCCSC[C@@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,9876525.0,,,
LY2140023,CSCC[C@H](N)C(=O)N[C@@]1(C(=O)O)CS(=O)(=O)[C@H]2[C@H](C(=O)O)[C@H]21,25195354.0,,,
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,126941.0,10.0,PubChem,PubChem: Half Life: Low doses (less than 30 mg/m^2): 3 to 10 hours
Astragaloside IV,CC(C)(O)[C@@H]1CC[C@](C)([C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]5C(C)(C)[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)O1,13943297.0,,,
Chenodeoxycholic Acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,10133.0,,,
Dihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,5284543.0,,,
"3,5-DCQA",O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1O,6474310.0,,,
Azlocillin,CC1(C)SC2[C@H](NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,6479523.0,1.5,PubChem,PubChem: half-life is 1.3 to 1.5 hours
Ziracin,COC[C@@H]1O[C@H](O[C@H]2OC[C@H]3O[C@@]4(OC[C@H](OC(=O)c5c(C)cc(O)cc5O)[C@@H]5OCOC54)O[C@@H]3[C@H]2O)[C@@H](OC)[C@H](O)[C@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2O[C@H](C)[C@@H]3O[C@]4(C[C@@H](O)[C@H](O[C@@H]5C[C@H](O[C@H]6C[C@@](C)([N+](=O)[O-])[C@@H](OC)[C@@H](C)O6)[C@@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@H](C)O5)[C@@H](C)O4)O[C@]3(C)[C@H]2O)[C@H]1O,6917933.0,,,
Sinitrodil,O=C1c2ccccc2OCN1CCO[N+](=O)[O-],121985.0,,,
Carebastine,CC(C)(C(=O)O)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,65820.0,,,
Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,2712.0,,,
CP-65207,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(S[C@H]3CC[S@@+]([O-])C3)S[C@@H]12,23669324.0,,,
Perampanel,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,9924495.0,105.0,PubChem,PubChem: half-life of about 105 hours
Amsalog,CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3nc12,107924.0,,,
Dinaciclib,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,46926350.0,,,
Lomitapide,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,9853053.0,39.7,PubChem,PubChem: half-life is 39.7 hours
KNI-272,CSC[C@H](NC(=O)COc1cccc2cnccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC[C@H]1C(=O)NC(C)(C)C,60927.0,,,
Doxacurium,COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,60169.0,,,
Octreotide,CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1,448601.0,2.08,PubChem,PubChem: t 1.67–2.5 hours
Cefonicid,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,43594.0,,,
Ro25-6833,Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN(CC(F)(F)F)C4=O)CS[C@H]23)cs1,9578062.0,,,
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,5288826.0,3.0,PubChem,PubChem: Half Life: 2-4 hours
Pixantrone,NCCNc1ccc(NCCN)c2c1C(=O)c1ccncc1C2=O,134019.0,31.9,PubChem,PubChem: Half life ranges from 14.7 to 31.9 hours
Benperidol,O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,16363.0,,,
Ginkgolide B,C[C@@H]1C(=O)O[C@H]2[C@H](O)C34[C@H]5C[C@@H](C(C)(C)C)C36[C@@H](OC(=O)[C@@H]6O)OC4(C(=O)O5)[C@@]12O,11973122.0,,,
